country,product_desc,city,source,buyer_name,hs_code,email
IN,cosmetics,Rourkela,KOTRA_SNS,Lookcious,330499.0,
PH,Beauty products and skincare,Santa Rosa,KOTRA_SNS,The White Closet,330499.0,
US,cosmetics,Cauayan City,KOTRA_SNS,VA Cowork,330499.0,
PH,beauty products,Makati,KOTRA_SNS,Fit And Trim Manila,330499.0,
PH,skincare,"Taytay, Rizal",KOTRA_SNS,,330499.0,
PH,Beauty products and food,Victorias City,KOTRA_SNS,Aguila Businesses,330499.0,
PH,cosmetics,imus,KOTRA_SNS,Schwarzkopf Professional Philippines,330499.0,
PH,cosmetic,Puerto Princesa,KOTRA_SNS,marinne home inn,330491.0,
PH,Cosmetics,Davao City,KOTRA_SNS,"Followed By 1,653,865 People",330499.0,
PH,cosmetics and beauty products,San Fernando,KOTRA_SNS,Online Business,330790.0,
KH,lips,Siem Reap,KOTRA_SNS,Cambodia,330491.0,
PH,cosmetics,Manila,KOTRA_SNS,AP Law,330410.0,
PH,Cosmetics skin care,Bacoor,KOTRA_SNS,MB Digital Hub,330499.0,
PH,cosmetics,cebu city,KOTRA_SNS,Tabzzizlers Restobar,330499.0,
PH,Skin care,Dasmarias,KOTRA_SNS,Snc dental clinic,330499.0,
PH,Beauty products,Las Pias,KOTRA_SNS,,330491.0,
PH,Beauty products,Davao City,KOTRA_SNS,Ucart,330499.0,
US,skincare,dasma cavite,KOTRA_SNS,,330499.0,
PH,Cosmetics,Quezon City,KOTRA_SNS,Jarie Potato Corner,330499.0,
PH,Skin care,Las Pias,KOTRA_SNS,QES Technology Philippines Inc,330499.0,
MM,Beauty products,Yangon,KOTRA_SNS,Beauty & Seoul,330491.0,
IN,Cosmetics,West Delhi,KOTRA_SNS,Newspaper,330499.0,
PK,All,Karachi,KOTRA_SNS,stopNshop365,330499.0,
IN,Cosmetics,Delhi,KOTRA_SNS,The Nutrition Care,330499.0,
IN,"Beauty cosmetics, skin care, Hair care, body care products",Thane,KOTRA_SNS,AMISAN INDIA,330499.0,
BD,cosmetics,Dhaka,KOTRA_SNS,Silk Route Design Ltd.,330499.0,
IN,Korean cosmetics,New delhi,KOTRA_SNS,No company,330499.0,
IN,Cosmetics and skin care,Agra,KOTRA_SNS,Sanket collection,330499.0,
BD,cosmetics,DHAKA,KOTRA_SNS,SISMO ELECTRONICS BANGLADESH LTD,330510.0,
PK,Makeup,Lahore,KOTRA_SNS,HNM,330491.0,
PK,OEM skincare and korean skincare brands,Karachi,KOTRA_SNS,Atsol Ventures,330499.0,
PK,Cosmetics,Karachi,KOTRA_SNS,Rastek Technologies,330499.0,
PK,makeup,Karachi,KOTRA_SNS,simplybuy,330420.0,
PK,Cosmetics,Rawalpindi,KOTRA_SNS,LH,330499.0,
PK,cosmetics,multan,KOTRA_SNS,"Islamabad, Pakistan",330499.0,
US,abib sunstick protection bar,florida,KOTRA_SNS,Lilydove LLC,330499.0,
BD,makeup,Dhaka,KOTRA_SNS,The Coach,330491.0,
PK,Makeup and skincare,Karachi,KOTRA_SNS,Youtuber and reviewer,330499.0,
BD,cosmetics,Dhaka,KOTRA_SNS,New U cosmetics zone,330499.0,
IN,Makeup,Hassan,KOTRA_SNS,Ayurveda Doctor,330410.0,
IN,Cosmetic,Delhi,KOTRA_SNS,Staid Lifesciences Pvt Ltd,330499.0,
BD,cosmetics,dhaka,KOTRA_SNS,new,330499.0,
BD,Cosmetics and Skin Care,Chittagong,KOTRA_SNS,Atryz International,330499.0,
PK,Korean product,Karachi,KOTRA_SNS,no,330499.0,
IN,cosmetic products,Ernakulam,KOTRA_SNS,Lokah,330790.0,
IN,Make up/ cosmics,Ahmedabad,KOTRA_SNS,Hrim Enterprise,330499.0,
IN,cosmetic,Hyderabad,KOTRA_SNS,Hyderabad,330491.0,
PK,Makeup cosmetics,Karachi,KOTRA_SNS,Wajid khan salon,330491.0,
PK,cosmetic,Islamabad,KOTRA_SNS,Medigreen Pharmacy,330499.0,
PK,Cosmetic,Lahore,KOTRA_SNS,Demands Media,330499.0,
IN,Cosmetics,Bharuch,KOTRA_SNS,Ideas plus technology solutions pvt ltd,330499.0,
BD,Cosmetics,Dhaka,KOTRA_SNS,Plasma A Sustainable Chemistry Digital Institute,330499.0,
PK,cosmetics,sahiwal,KOTRA_SNS,Ahmad Marketing and distribution network,330499.0,
BD,cosmetic,Dhaka,KOTRA_SNS,ABCO Ltd,330499.0,
PK,makeup,Karachi,KOTRA_SNS,aynurfoods,330790.0,
PK,Cosmetics and beauty,Karachi,KOTRA_SNS,exhiVits,330499.0,
CL,cosmetic,Lhr,KOTRA_SNS,IPS,330499.0,
PK,Cosmetics,Rawalpindi,KOTRA_SNS,Sadias,330499.0,
IN,cosmetics,Alipurduar,KOTRA_SNS,ASTHA,330499.0,
PK,cosmetics,batkhela.district malakand.,KOTRA_SNS,ayesha online store,330430.0,
PK,Cosmetic,"Ghakkhar, Gujranwala",KOTRA_SNS,M Alam & Sons,330499.0,
BD,cosmetics,Dhaka,KOTRA_SNS,awal enterprize,330499.0,
PK,cosmetics,Rawalpindi,KOTRA_SNS,HBL,330420.0,
PK,Cosmetics products,Karachi,KOTRA_SNS,Elegance Cosmetics,330499.0,
IN,"makeup , skincare, food items",noida,KOTRA_SNS,teacher,330790.0,
PK,"Make up, clothes, toys, furniture, technology",Faisalabad,KOTRA_SNS,Oriflame,330499.0,
IN,cosmetics,kumbakonam,KOTRA_SNS,narpavi enterprises and services,330499.0,
PK,Cosmetics nd electric devices,Rawalpindi,KOTRA_SNS,FINCA Microfinance Bank Limited,330491.0,
US,Cosmetic,Delhi,KOTRA_SNS,Wer,330410.0,
BD,simply medical equipment...,Chittagong,KOTRA_SNS,Lotus Shares & Securities Ltd,330499.0,
PH,skincare,Paraaque,KOTRA_SNS,A.A.V. Talents Training & Management Enterprises,330499.0,
PH,Cosmetics,Taguig,KOTRA_SNS,Service teknicol,330790.0,
PH,skincare,PULILAN,KOTRA_SNS,unemployed,330499.0,
PH,cosmetics and more,Bulakan,KOTRA_SNS,Municipality of Guiguinto,330499.0,
ID,Make up,Jakarta,KOTRA_SNS,Cece lunch box,330790.0,
MY,cosmetic,kedah,KOTRA_SNS,kencana food,330499.0,
PH,Skin care and cosmetic products,Paranaque City,KOTRA_SNS,IM MEDIA.PH INC.,330499.0,
PH,"cosmetics, home and living",Cainta,KOTRA_SNS,Jateser Fusion,330499.0,
PH,cosmetic,quilib rosario batangas,KOTRA_SNS,non,330499.0,
PH,"Makeup, Skincare, Food & RTW",Cagayan de Oro,KOTRA_SNS,ICON Ideal Concepts,330499.0,
PH,cosmetics,Philippines,KOTRA_SNS,free lance,330499.0,
PH,Beauty products,Quezon City Philippines,KOTRA_SNS,"Pinoy Modern Farms, Inc.",330499.0,
PH,cheap beauty products from korea,San Jose del Monte City,KOTRA_SNS,MSR Healthcare Inc .,330499.0,
ID,Skincare,Batam,KOTRA_SNS,My Own Company,330499.0,
PH,Skin care,Puerto Princesa,KOTRA_SNS,OCD,330499.0,
PH,korean beauty products,Quezon City,KOTRA_SNS,Self Employed,330499.0,
PH,cosmetics and makeup,Quezon City,KOTRA_SNS,Golden Glow Skin Solutions Inc.,330410.0,
